Battery,Weight,NoOfCameras,Is5GSupport,IsDualSimSupport,ModelYear,Company,FrameRate,Price
5184,188,2,False,False,2022,OnePlus,90,340.25
4179,150,5,True,True,2025,Vivo,60,796.26
3548,237,2,False,False,2025,Samsung,60,1829.92
5529,186,2,True,False,2019,IPhone,90,1590.36
2507,202,4,False,False,2022,Samsung,60,929.77
3151,185,1,True,True,2020,Realme,60,1181.13
4080,244,2,False,False,2021,Realme,90,1807.03
4677,237,4,False,True,2018,Oppo,120,835.7
5645,247,5,False,False,2018,Realme,120,1969.58
4800,193,1,True,False,2019,OnePlus,60,202.06
5502,127,2,False,False,2023,Samsung,120,1971.5
3435,207,5,True,False,2024,Realme,120,1597.14
4429,141,2,False,False,2024,Oppo,120,1831.48
5734,131,2,True,True,2024,Vivo,90,272.28
3644,195,4,True,True,2021,Oppo,60,1891.87
5911,249,5,True,False,2019,IPhone,90,1939.83
4660,218,4,True,True,2022,Oppo,90,1673.51
5349,232,1,False,True,2020,Vivo,60,401.63
2795,194,1,False,False,2024,Oppo,60,851.61
5488,136,2,False,False,2021,OnePlus,90,1780.23
4876,178,2,False,True,2022,Oppo,90,1729.68
4293,229,2,False,True,2018,Realme,90,102.37
3504,235,2,False,True,2018,Vivo,60,1717.11
5573,201,5,False,True,2023,Realme,120,188.02
4282,135,5,True,True,2021,Samsung,90,1140.42
5976,182,4,True,False,2019,OnePlus,120,147.57
4256,152,3,False,False,2024,Samsung,90,571.65
5357,207,5,True,False,2023,Samsung,120,283.93
3375,209,5,True,True,2023,IPhone,90,1828.51
4253,158,2,True,True,2024,OnePlus,90,1268.64
4377,222,3,True,True,2022,OnePlus,120,110.18
5741,186,2,True,True,2024,Realme,90,465.97
3805,226,3,True,True,2024,Samsung,60,1348.85
3611,196,1,False,True,2018,OnePlus,90,1276.75
2927,134,4,False,False,2024,IPhone,60,587.69
4327,166,1,False,False,2024,OnePlus,120,1691.98
3890,136,4,True,True,2018,OnePlus,90,282.19
4938,173,5,False,True,2022,OnePlus,120,1343.55
2980,194,1,True,True,2021,IPhone,90,1444.02
3581,189,5,True,True,2022,Samsung,120,1447.73
4214,170,5,True,False,2022,Vivo,60,551.72
5062,151,4,True,False,2021,Vivo,120,1104.21
4564,211,5,True,False,2024,Realme,120,1526.83
4320,219,1,False,True,2022,Samsung,60,406.26
4242,179,1,False,True,2019,Oppo,90,678.07
2878,179,1,False,True,2023,Realme,60,1106.34
3064,196,3,True,True,2025,IPhone,60,941.89
2608,205,1,False,False,2018,Realme,90,535.96
2515,244,5,True,True,2020,IPhone,120,1696.14
5806,236,5,True,False,2022,Realme,60,1056.9
4146,180,3,True,False,2025,IPhone,90,160.57
4622,188,1,False,False,2022,Samsung,60,164.72
5944,179,4,True,False,2024,Realme,120,371.83
2977,243,5,True,True,2019,Realme,90,1405.79
2692,191,4,True,False,2024,IPhone,120,719.47
3082,243,2,True,True,2020,Oppo,90,1064.55
2883,226,4,False,False,2025,IPhone,60,1329.68
2833,195,2,True,False,2024,Realme,90,1989.38
2664,176,4,True,True,2019,Vivo,60,911.29
4521,121,2,False,False,2021,Realme,60,1700.43
4479,189,5,False,True,2021,IPhone,60,1629.79
4440,155,1,True,True,2024,Vivo,90,1354.9
5035,231,2,True,False,2018,OnePlus,60,926.34
2861,215,5,True,False,2024,Realme,120,1282.91
3334,123,5,True,False,2025,IPhone,90,324.19
3286,157,1,True,False,2021,Oppo,90,1341.86
3494,229,2,False,True,2023,Vivo,90,1266.64
2730,160,1,False,False,2018,Realme,120,262.58
4140,188,2,False,True,2023,Vivo,90,1955.76
2617,191,3,False,True,2021,Vivo,60,1240.43
2543,148,1,True,True,2025,OnePlus,60,202.99
4905,204,5,True,True,2022,Realme,60,1454.26
3541,165,2,False,False,2025,Samsung,90,765.75
4472,183,1,True,True,2019,OnePlus,120,411.63
3237,150,5,False,True,2020,OnePlus,60,569.71
4196,207,3,False,True,2018,Vivo,60,469.5
3865,231,1,False,False,2025,IPhone,60,298.48
4050,206,2,False,False,2023,Realme,90,495.62
3266,141,1,True,False,2020,Realme,120,1507.32
3643,233,4,False,True,2018,Oppo,60,1151.5
5163,180,3,True,False,2019,IPhone,120,260.1
2896,239,4,True,True,2024,Samsung,120,426.11
5055,188,3,False,True,2019,Realme,120,172.72
4956,217,3,False,False,2020,IPhone,60,1747.71
2971,230,1,True,False,2021,Vivo,120,1774.0
4870,127,4,False,True,2018,IPhone,60,893.68
2842,219,1,True,False,2020,OnePlus,60,513.07
4524,220,5,True,True,2023,Vivo,90,1417.29
5943,215,1,True,False,2023,Oppo,120,1169.34
5765,206,3,False,True,2023,OnePlus,60,1142.96
4974,198,3,True,True,2019,IPhone,60,673.32
2674,178,1,True,False,2021,OnePlus,120,166.38
4758,209,4,True,True,2018,Oppo,60,1158.52
3643,227,5,False,False,2019,Oppo,120,1600.43
2981,195,4,True,True,2018,OnePlus,60,1728.34
2721,128,1,False,True,2025,Realme,120,1305.73
5338,214,2,False,False,2021,IPhone,120,1398.96
4164,220,4,False,True,2024,Samsung,120,1946.92
2903,186,1,True,True,2023,Vivo,90,420.33
5605,220,3,False,True,2019,IPhone,60,1547.55
5451,218,2,True,False,2024,IPhone,90,640.67
4600,241,4,False,True,2018,Oppo,120,591.45
5011,174,3,True,False,2024,OnePlus,90,1130.94
5317,132,3,True,False,2021,OnePlus,120,1927.72
5529,223,4,False,False,2023,IPhone,120,625.11
3390,224,5,False,False,2025,OnePlus,60,1545.63
3364,232,2,False,True,2025,Oppo,120,1665.5
2732,193,3,False,False,2022,IPhone,60,797.24
5570,179,5,True,False,2019,IPhone,120,1979.26
2657,151,5,False,False,2025,IPhone,120,1752.5
5270,135,4,True,True,2019,Samsung,90,1077.47
5712,221,2,False,True,2020,Samsung,90,1044.41
4150,240,1,True,True,2018,OnePlus,120,176.56
2836,208,5,True,False,2022,IPhone,60,1614.22
3268,149,1,False,False,2020,OnePlus,90,485.75
5248,217,4,True,True,2021,Samsung,120,1199.48
5641,174,1,True,False,2019,Oppo,120,1786.35
4348,190,2,True,True,2018,Oppo,60,289.38
4542,199,1,True,False,2021,OnePlus,120,172.12
2859,202,3,True,False,2019,Samsung,120,181.41
3248,202,3,True,True,2023,Realme,90,1016.76
3738,168,1,True,True,2025,IPhone,60,1947.82
3434,145,5,False,False,2019,Samsung,60,1507.72
4829,214,1,False,False,2020,OnePlus,120,1732.34
5487,139,5,True,True,2021,Oppo,60,1410.34
5773,177,1,False,False,2018,Oppo,90,924.35
3738,162,3,False,False,2019,Vivo,60,1851.98
5860,198,2,False,False,2019,Oppo,90,1773.53
4041,186,1,True,True,2022,Oppo,60,674.5
5932,235,1,True,True,2024,IPhone,60,821.87
4728,180,4,False,True,2025,Samsung,120,1986.04
4828,172,3,False,False,2022,OnePlus,90,1300.48
3136,122,3,False,False,2018,Samsung,60,130.28
4038,201,2,True,False,2019,Realme,120,815.21
4940,152,3,True,True,2020,OnePlus,120,893.47
3593,125,1,False,True,2022,Realme,90,675.26
3577,178,5,True,False,2025,Vivo,60,1579.66
4442,169,1,False,True,2020,Oppo,90,1884.02
3343,219,3,False,True,2021,IPhone,90,203.86
4184,120,4,True,True,2023,Vivo,60,106.0
2921,198,4,False,True,2018,Vivo,120,238.34
3554,140,4,False,False,2019,Vivo,120,1373.14
5618,161,1,False,False,2019,Realme,90,978.66
2730,202,3,True,True,2023,OnePlus,90,1196.7
3541,173,4,False,False,2021,OnePlus,60,495.63
2898,178,2,True,True,2020,Vivo,60,195.45
5255,184,5,False,True,2018,Samsung,120,1803.79
5572,219,2,False,False,2022,Samsung,120,779.87
5069,135,4,False,False,2019,Samsung,90,1974.05
2556,144,5,True,True,2024,Vivo,120,1696.42
4519,155,5,False,False,2025,OnePlus,60,161.99
3139,155,2,False,False,2019,Oppo,90,1089.26
4449,242,3,True,True,2019,Oppo,120,1497.37
4869,184,1,False,True,2024,Realme,60,776.12
3667,250,3,False,False,2025,Samsung,60,1586.88
2920,216,2,True,False,2023,Samsung,90,941.86
5608,201,4,True,False,2024,Realme,60,593.65
3181,159,3,True,True,2024,Oppo,120,1216.08
3787,147,1,False,False,2021,Vivo,120,912.36
2765,134,5,True,True,2022,IPhone,60,1037.52
3777,120,3,True,False,2018,Realme,60,1446.86
2923,155,1,False,False,2021,Samsung,90,1007.0
2991,133,5,True,False,2024,Vivo,120,1185.31
5123,198,3,True,False,2020,Oppo,60,1090.14
5341,199,5,False,False,2022,Oppo,60,1912.25
2616,122,1,False,False,2019,OnePlus,90,652.98
5947,172,4,False,True,2024,Samsung,120,1464.58
3897,180,3,False,True,2019,Samsung,60,700.19
2883,241,2,True,False,2021,Realme,60,1234.1
3408,132,2,False,True,2021,Vivo,120,1962.93
5593,166,4,True,False,2022,Oppo,90,781.06
2634,190,1,False,True,2022,Realme,90,1642.67
3985,139,4,True,False,2020,IPhone,90,111.54
4918,192,2,True,True,2025,Vivo,120,1140.47
3099,186,2,False,False,2023,Oppo,120,952.26
3726,122,2,True,False,2024,IPhone,90,360.05
4403,122,2,False,True,2019,IPhone,90,1596.76
5461,135,4,False,False,2021,OnePlus,60,1207.0
2752,172,5,True,True,2021,OnePlus,90,1360.94
4581,188,1,True,True,2024,OnePlus,90,923.33
4689,216,1,True,False,2023,Realme,120,147.4
5643,178,4,True,True,2018,OnePlus,120,1061.01
2730,154,1,False,False,2025,OnePlus,60,1430.65
3501,196,1,True,False,2019,OnePlus,60,325.81
4249,238,4,True,True,2020,Oppo,60,190.2
5775,180,2,False,False,2019,Samsung,120,862.24
4626,178,3,False,True,2023,OnePlus,120,1770.86
5031,163,4,True,True,2020,Oppo,120,1163.52
3553,200,4,False,True,2023,Samsung,60,485.32
4033,248,2,False,False,2022,Samsung,90,1094.41
3559,190,4,True,False,2025,Vivo,60,680.73
3612,189,5,True,True,2022,OnePlus,90,1041.95
4727,239,2,False,True,2022,Realme,60,1560.58
4941,174,1,False,False,2024,Vivo,90,1813.51
5236,244,4,True,False,2023,Oppo,90,1250.95
3379,143,4,True,True,2022,Vivo,90,1608.58
3492,210,4,False,False,2020,Oppo,60,568.06
4703,226,3,False,False,2024,Oppo,90,305.91
5281,153,3,True,True,2020,OnePlus,60,946.29
3751,149,2,False,True,2019,Oppo,120,602.12
5720,198,1,True,False,2019,Vivo,90,1364.95
5709,216,1,True,True,2025,IPhone,120,1365.61
3286,235,1,False,True,2023,Oppo,60,872.45
4592,241,4,False,True,2025,Realme,90,605.21
4896,138,1,True,False,2019,OnePlus,90,1175.61
4014,148,3,False,False,2025,Realme,60,902.26
5209,209,3,False,True,2024,Realme,120,918.5
4401,144,2,True,False,2021,Oppo,90,1808.11
4026,203,5,True,True,2018,Oppo,120,642.6
5016,189,4,False,False,2019,IPhone,120,1687.7
2723,214,3,True,False,2025,Realme,90,711.39
5499,138,4,False,False,2025,Samsung,60,1591.02
3254,132,4,False,False,2020,Oppo,90,1731.55
4743,231,5,True,False,2022,Samsung,90,1191.4
4824,153,5,True,True,2022,Oppo,120,1847.45
4315,203,1,True,False,2019,Samsung,120,1364.2
3379,223,2,False,False,2023,IPhone,120,1184.12
5904,120,5,False,False,2023,Vivo,90,458.96
2984,135,2,True,True,2019,Vivo,90,395.87
3066,200,2,False,False,2018,IPhone,90,1311.85
4768,171,2,True,True,2023,Realme,60,471.14
5819,138,5,True,False,2020,IPhone,90,1514.58
5383,176,4,True,True,2020,Samsung,60,1922.47
3407,164,3,True,True,2021,Oppo,90,1313.98
5392,165,4,False,True,2022,Oppo,120,1084.17
4060,165,2,True,True,2018,IPhone,60,294.59
2755,199,3,False,True,2018,OnePlus,120,732.73
2507,167,1,True,True,2018,Oppo,60,1237.22
3406,136,5,True,False,2018,IPhone,120,834.82
3049,124,1,True,False,2022,OnePlus,90,600.27
3176,237,5,True,False,2020,Oppo,60,975.62
2833,246,5,True,True,2019,Samsung,120,1284.0
4125,228,1,False,True,2018,Vivo,90,1358.72
5767,197,2,True,True,2021,Samsung,60,1680.91
4331,206,4,True,False,2023,Vivo,120,868.39
5365,171,1,False,False,2018,Vivo,60,1559.39
3826,234,4,True,False,2020,IPhone,60,1575.99
4225,154,5,True,False,2020,Vivo,60,254.84
3485,162,5,True,False,2018,OnePlus,120,853.95
3979,196,4,False,True,2021,OnePlus,60,1483.71
5930,187,5,False,False,2021,IPhone,120,242.32
5634,170,4,True,False,2025,Realme,60,939.85
4565,223,2,False,False,2022,Vivo,60,1006.0
5032,175,3,True,True,2022,OnePlus,60,258.52
3919,131,1,True,True,2021,OnePlus,90,1596.88
2597,222,5,False,True,2024,Oppo,60,1137.75
3490,156,3,True,False,2019,Oppo,120,911.36
2995,121,4,False,False,2025,IPhone,90,1349.66
4030,245,4,False,False,2025,Realme,90,167.3
3331,216,4,True,False,2025,IPhone,90,573.21
4893,137,1,False,True,2025,Realme,90,1616.3
4251,138,2,True,True,2022,IPhone,120,1740.13
5591,150,5,False,False,2023,Oppo,120,202.16
5681,135,2,False,False,2021,Oppo,60,863.4
5606,164,2,False,True,2022,Oppo,60,1178.82
5499,201,1,True,False,2025,Samsung,120,1149.45
3320,178,1,True,False,2020,Oppo,60,1268.28
2753,130,2,False,True,2019,IPhone,120,244.49
4203,220,1,False,True,2025,Samsung,60,602.58
5491,149,2,True,False,2020,Vivo,90,1629.79
4490,136,2,True,False,2023,IPhone,90,1250.43
5266,201,2,False,True,2020,IPhone,60,840.78
4001,124,2,True,True,2021,Oppo,60,1491.56
4875,219,4,True,True,2018,Oppo,60,1407.07
4736,130,1,True,False,2023,Vivo,90,1549.65
3699,128,3,False,False,2019,IPhone,60,586.32
3126,208,5,False,True,2019,Oppo,60,1056.99
2612,238,4,True,True,2018,IPhone,60,173.95
5631,193,3,True,False,2022,Vivo,120,472.55
2747,180,1,True,True,2018,Realme,120,783.61
5388,166,5,False,True,2018,Oppo,120,1244.6
5116,130,2,False,True,2025,Realme,60,1172.79
5638,197,1,True,False,2021,Oppo,120,795.86
2806,160,2,True,False,2023,Realme,90,355.69
2893,199,1,False,False,2018,Samsung,120,1881.68
4325,174,3,False,True,2018,Samsung,120,1405.82
3175,214,5,True,True,2025,IPhone,90,377.54
3219,172,4,True,True,2021,OnePlus,60,860.21
4673,135,1,True,False,2018,Samsung,120,943.17
3136,124,4,False,True,2021,IPhone,120,1673.85
2853,157,4,True,True,2025,IPhone,90,677.27
5401,183,3,False,True,2018,Vivo,90,1118.22
3558,206,2,False,True,2018,Vivo,90,1247.16
5421,216,4,True,True,2019,Vivo,60,516.2
5627,173,4,False,False,2018,Samsung,90,961.9
4481,236,5,False,True,2025,Vivo,60,345.44
5721,187,4,True,False,2020,Samsung,120,1211.96
3693,224,5,True,True,2025,Vivo,120,1907.54
2607,194,4,False,False,2020,IPhone,120,609.39
3747,149,1,True,True,2024,Realme,120,699.17
4294,121,5,False,False,2020,Realme,90,1235.74
3088,173,2,True,False,2024,Oppo,120,1151.51
3363,224,2,True,False,2019,Realme,60,956.32
5080,240,4,True,False,2019,OnePlus,90,726.04
4733,152,2,False,True,2019,OnePlus,120,1000.01
3155,137,2,True,True,2021,IPhone,90,1754.7
4607,200,2,False,True,2018,Realme,90,285.06
5578,233,4,False,True,2025,Realme,120,1745.03
4793,184,1,True,False,2018,IPhone,120,379.52
4808,238,2,True,False,2025,OnePlus,60,1530.31
5556,156,1,True,False,2020,Oppo,120,270.58
3635,249,1,True,False,2018,Vivo,120,1155.15
3029,190,1,True,False,2023,Vivo,90,395.71
2967,211,1,False,True,2024,Oppo,90,553.48
4627,174,3,False,False,2021,OnePlus,120,629.01
4709,246,3,False,True,2019,Samsung,90,939.3
5161,152,1,True,False,2023,Realme,120,235.94
4194,174,2,True,True,2020,Samsung,90,151.69
5790,170,5,True,False,2018,Oppo,120,1501.18
2887,196,5,True,False,2019,Realme,120,729.31
5066,128,2,False,False,2025,Realme,90,1115.9
4177,133,3,True,True,2025,Vivo,60,1415.71
3361,135,3,True,False,2021,Realme,90,489.06
4819,178,2,False,False,2020,Vivo,120,905.43
3407,155,1,False,False,2023,IPhone,90,1749.91
2975,178,2,False,True,2025,IPhone,90,499.37
4096,247,1,False,True,2018,Oppo,90,132.58
5460,178,3,True,False,2019,OnePlus,60,1560.1
4574,159,4,True,True,2022,Oppo,120,1918.86
4012,133,4,False,True,2024,Vivo,120,1041.11
2888,189,1,False,True,2018,Realme,60,1942.18
3719,138,5,False,False,2025,OnePlus,120,432.09
3661,174,2,True,False,2021,Samsung,90,742.33
3796,159,1,False,True,2023,Oppo,120,1806.73
4895,193,3,True,False,2021,IPhone,60,1903.13
3322,167,2,True,True,2018,OnePlus,60,1044.6
4224,157,2,True,True,2021,OnePlus,90,1708.15
5186,123,3,False,True,2020,Realme,120,282.97
5018,138,1,False,False,2024,Oppo,90,1540.25
5710,139,5,True,True,2020,Vivo,60,1628.79
3733,136,2,True,True,2024,Oppo,120,893.99
4439,174,5,False,True,2018,IPhone,60,756.86
2929,226,1,False,True,2019,Oppo,120,243.61
5090,184,2,False,True,2021,IPhone,120,1772.11
3608,187,5,False,True,2025,Vivo,60,1739.94
5707,194,2,False,True,2020,Vivo,60,1591.43
4551,174,4,False,True,2025,Vivo,120,948.43
3268,161,4,True,True,2018,Oppo,120,544.06
3727,178,2,False,False,2021,IPhone,120,1093.5
3145,216,1,True,True,2025,Vivo,120,1434.3
4199,136,3,True,False,2023,Realme,90,1403.04
3425,173,4,False,False,2021,OnePlus,60,1198.67
4637,242,2,True,False,2020,Oppo,60,656.43
2750,189,4,False,True,2019,Realme,120,1919.98
5066,176,1,False,False,2018,Oppo,120,297.13
2991,179,4,False,True,2022,Samsung,90,1328.75
4589,172,2,True,True,2022,Realme,90,228.59
3975,234,1,True,True,2022,OnePlus,120,1424.59
4166,135,1,True,True,2023,OnePlus,60,770.27
3344,200,2,True,True,2021,OnePlus,90,691.38
5202,248,1,False,True,2020,Oppo,60,626.16
2750,181,5,False,True,2025,OnePlus,90,802.78
3822,188,3,False,True,2023,OnePlus,90,744.5
4299,167,5,False,False,2020,Realme,120,262.03
3698,226,2,True,True,2020,Realme,90,366.18
5788,120,3,False,False,2021,Realme,90,1864.64
5724,142,1,False,True,2022,OnePlus,120,392.48
5090,143,4,True,True,2024,Realme,90,1521.36
3632,134,5,True,False,2020,Vivo,90,700.91
5999,200,1,False,False,2022,IPhone,120,1554.99
2508,153,5,True,False,2025,Oppo,60,882.88
3328,228,3,True,True,2019,Oppo,90,874.48
4489,184,4,True,True,2025,Samsung,60,203.88
2794,166,4,False,False,2025,Vivo,60,209.1
2533,215,5,True,True,2022,OnePlus,120,1204.14
5613,204,3,True,True,2021,IPhone,90,1248.56
2733,243,5,True,False,2020,OnePlus,120,607.14
5512,248,4,True,False,2021,Realme,90,320.33
3926,186,1,True,True,2023,Realme,120,112.85
5841,209,5,True,True,2020,Oppo,90,680.97
2978,142,5,False,False,2023,Oppo,90,1799.53
5647,241,4,False,True,2020,Vivo,120,752.33
4628,129,3,False,False,2019,Vivo,60,1744.6
2914,193,4,False,False,2023,Samsung,90,1307.04
2714,220,2,True,True,2021,Oppo,60,1061.28
3852,248,5,True,True,2018,Realme,90,926.31
5042,233,1,True,False,2019,Realme,60,556.05
2675,210,5,True,True,2022,Oppo,90,1346.66
5073,171,5,True,True,2020,OnePlus,60,1484.02
5844,147,5,False,True,2022,Vivo,60,433.27
5899,219,4,True,True,2023,Samsung,120,1631.09
5728,244,2,False,False,2018,Realme,120,542.64
4904,244,3,True,False,2023,Realme,120,1350.05
5723,138,3,False,True,2024,Samsung,120,1791.27
5933,219,2,False,False,2022,Oppo,90,881.36
4974,148,4,False,False,2021,IPhone,90,1383.84
3618,150,1,True,True,2022,OnePlus,120,1567.34
5460,170,1,True,False,2018,Realme,60,513.4
4328,231,5,True,False,2023,OnePlus,60,1771.15
3601,141,4,True,False,2020,OnePlus,60,1070.22
3767,180,4,True,True,2019,Samsung,120,848.91
5550,129,2,False,False,2024,IPhone,60,1458.26
4642,176,1,True,False,2018,Vivo,120,140.82
5258,143,2,False,True,2019,Realme,120,1484.45
5018,164,2,True,True,2025,OnePlus,90,1701.55
3508,169,1,True,False,2021,Samsung,90,671.24
5465,249,4,False,False,2020,Oppo,60,1405.81
3135,163,3,True,False,2019,Oppo,60,124.53
4012,141,4,True,True,2021,OnePlus,120,845.97
3971,147,4,False,True,2022,Oppo,120,1129.41
4982,127,5,False,True,2021,Samsung,120,1675.55
4170,224,4,False,True,2020,OnePlus,90,963.93
3833,215,4,False,False,2025,Oppo,60,1104.43
4465,164,3,True,False,2025,Oppo,90,1764.94
5121,121,5,False,False,2023,Oppo,60,733.61
5828,154,1,True,False,2021,OnePlus,90,1784.54
3493,155,4,True,False,2023,Samsung,60,1969.8
5387,182,2,False,True,2023,Realme,60,1638.87
3201,152,4,True,True,2018,Samsung,120,566.79
5594,158,4,False,True,2020,Realme,120,1574.55
4020,189,4,False,False,2019,Realme,120,969.88
5917,249,3,True,True,2021,Vivo,90,671.08
5159,132,5,True,False,2024,Realme,120,1602.03
5918,180,1,True,True,2019,OnePlus,90,782.18
4771,216,1,True,False,2019,Oppo,90,1376.13
2941,142,2,False,True,2025,Realme,60,1947.81
3960,170,1,False,True,2024,IPhone,60,300.95
4683,217,1,True,False,2019,Samsung,60,1713.88
4494,224,3,False,False,2020,Oppo,90,577.73
2502,177,1,True,True,2019,IPhone,90,1993.59
2555,245,4,True,False,2019,Realme,90,1983.99
3570,226,4,True,False,2022,OnePlus,120,1898.44
5220,207,4,True,True,2020,Realme,120,887.4
5282,232,1,True,True,2020,IPhone,90,784.49
4204,234,4,False,False,2023,Samsung,120,903.3
5055,250,2,False,True,2021,OnePlus,60,1494.69
5824,164,4,True,True,2024,Oppo,120,1465.15
3672,129,1,False,False,2018,Oppo,60,1635.3
3519,215,2,True,True,2020,Oppo,120,1353.16
2510,205,4,True,True,2021,Realme,90,891.06
2662,243,2,False,False,2021,Vivo,60,1790.41
3052,240,5,False,True,2025,Realme,90,621.81
4387,213,5,True,True,2023,Samsung,90,1353.25
4769,199,1,True,False,2025,Samsung,90,1285.0
4250,139,1,True,True,2022,Realme,120,1879.53
4094,232,2,True,True,2022,OnePlus,60,1942.74
5976,151,1,False,True,2021,Oppo,90,1300.97
5947,143,2,False,False,2024,Samsung,120,451.21
4997,162,3,False,True,2024,Samsung,90,577.77
4872,137,4,False,False,2020,Realme,90,1397.07
3300,148,3,False,False,2021,OnePlus,120,510.91
5997,180,5,True,True,2020,Samsung,90,669.14
